Заказчик,Область,Адрес,Код,Дата готовности,цена,Дата оплаты *,profit,Вид работ,№
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська обл., Надвірнянський р-н, м. Надвірна, вул. Визволення, 5.",LVI NAD DRK,27.05.2017,1950,12.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Рокитнівський р-н, с. Березове",LVI BER RKT,27.05.2017,1950,30.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Дубенський р-н, с. Мильча.",LVI MYL TOW,27.05.2017,1950,30.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Радивилівський р-н, с. Теслугів.",LVI TSL TOW,27.05.2017,1950,30.06.2017,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"Чернігівська область, смт. Талалаївка, вул. Робоча, 51.",UI 0847,27.05.2017,1950,11.07.2017,350,отчет,
"ООО ""АТМАКОМ""",Чернігівська,"Чернігівська область, смт. Куликівка, вул. Щорса, 50.",,27.05.2017,1950,11.07.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Костопільський р-н, с. Лісопіль, вул. Грушевського, 3.",LVI LSP TOW,27.05.2017,1950,11.07.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська область, Костопільський р-н,
с. Моквинські Хутори
", LVI MKV TOW,27.05.2017,1950,11.07.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Демидівський р-н, смт. Демидівка, вул. Першотравнева, 1",LVI DMD VDN,27.05.2017,1950,11.07.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Дубенський р-н, с. Мирогоща Перша.",LVI MRG TOW,27.05.2017,1950,09.08.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Дубенський р-н, с. Мирогоща Перша, вежа ЦПМ
",LVI M17 MIR,27.05.2017,1950,09.08.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Дубенський р-н, с. Стовпець.",LVI M17 STL,27.05.2017,1950,09.08.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Костопільський р-н, с. Берестовець",LVI BRS TOW,27.05.2017,1950,09.08.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Березнівський р-н, с. Кургани, вежа ОРТПЦ",LVI BRZ TVT,27.05.2017,1950,07.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Черкаська ,"Черкаська область, Корсунь-Шевченківський р-н,
м. Корсунь-Шевченківський, вул. Костомарова, 20.
",KIE CHK KR3,01.07.2017,1950,07.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Черкаська ,"Черкаська область, Уманський р-н,
с. Краснопілка.
",KIE CHK KSP,01.07.2017,1950,07.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Черкаська ,"Черкаська область, Маньківський р-н,
с. Подібна.
",KIE CHK POD,01.07.2017,1950,07.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Житомирська,"Житомирська область, Баранівський р-н,
смт. Баранівка, вул. Звягельська, 3.
",KIE ZHI BRA,01.07.2017,1950,28.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Острозький р-н, с. Верхів.",LVI VRH TWR,01.07.2017,1950,28.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Гощанський р-н, с. Тучин.",LVI TCH TOW,01.07.2017,1950,28.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Сарненський р-н, с. Корост.",LVI VVR SAR,01.07.2017,1950,28.09.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська область, Рівненський район,c. Три копці, ТОВ «лайфселл».",LVI TRK AST,01.07.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська обл., Здолбунівський р-н, с. Здовбиця.",LVI ZDC TOW,01.07.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Волинська,"Волинська обл., м. Нововолинськ, вул. Св. Володимира, 5.",LVI NVV CNT,01.07.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Волинська,"Донецька обл., м. Костянтинівка, вул. Бєлоусова, 5.",DON KON BEL,19.08.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Черкаська ,"Черкаська область, Жашківський р-н, с. Бузівка
",KIE M20 BUZ,19.08.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Черкаська ,"Черкаська область, Уманський р-н,с. Шарин.
",KIE M20 SRN,19.08.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Волинська,"Волинська обл., Іваничівський р-н, смт. Іваничі, вул. Заводська, 30, ВАТ ""Комбікормовий завод"".",LVI IVN KKZ,19.08.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Черкаська ,"Черкаська область, Звенигородський р-н,
м. Звенигородка, пр-т. Шевченка, 68.",KIE CHK ZV2,19.08.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-франківська обл., м. Калуш, територія рудника ""Пійло"".",LVI GLN KAL,19.08.2017,1950,27.12.2017,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Івано-Франківська обл. Долинський р-н, м. Долина, пр-т Незалежності, 3а.",LVI DOL NEZ,19.08.2017,1950,27.12.2017,350,отчет,
"ООО ""АТМАКОМ""",Одеська,"Одеська область, м. Одеса,
вул. Миколаївська дорога, 128.",ODE ODE DRG,19.08.2017,1950,27.12.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"м. Рівне, вул. Коперника, 21.",18-0002,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Івано-Франківська,"Рівненська область, Сарненський р-н,
м. Сарни, вул. Ковельська, 24.",LVI DOL MIC,19.08.2017,1950,19.08.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська область, Івано-Франківська обл., Тисменицький р-н, с. Майдан.",LVI MDN BDN,19.08.2017,1950,19.08.2017,350,отчет,
"ООО ""АТМАКОМ""",Рівненська ,"Рівненська область, Сарненський р-н, м. Сарни, вул. Ковельська, 24.",LVI SAR SUV,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",,"СК-26 для 4,5",,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",Волинська,"Волинська область, Ківерцівський р-н, м. Ківерці, вул. 17 Вересня, 31В.",LVI KVR VRS,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",,кспертиза башни 2_район_40_м,,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",,кспертиза башни 3_район_50_м,,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""АТМАКОМ""",,кспертиза башни 4_район_40_м,,01.11.2017,1950,01.11.2017,350,отчет,
"ООО ""МОД Девелопмент""",Херсонська,"Херсонська область, смт Чаплинка, вул Грушевського, 1",7102,21.07.2017,8000,03.08.2017,350,отчет,
"ООО ""МОД Девелопмент""",Луганська ,"Херсонська область, смт Чаплинка, вул Грушевського, 1 перерасчет",7102,05.12.2017,4000,14.12.2017,350,отчет,
"ООО ""МОД Девелопмент""",Луганська ,"с/рада Широківська, Станично-Луганський  р-н, Луганська обл",,26.12.2017,10000,26.12.2017,350,отчет,
"ООО ""Люм’єр Україна""",Сумська,"Сумська область, м. Суми Расчет уличной елки 18м высотой",,21.12.2017,4000,21.12.2017,350,отчет,
"ООО ""Люм’єр Україна""",Сумська,"Сумська область, м. Суми Перерасчетуличной елки 18м высотой",,21.12.2017,2000,21.12.2017,350,отчет,
"ООО ""МОД Девелопмент""",Одеська,"КМ часть РП : «Универсальный крытый зал» по ул. Одесская, дом.1/а, г. Ананьев ",,13.07.2018,42000,13.07.2018,350,КМ,
"ООО ""Люм’єр Україна""",Київ,Розрахунок на несучу здатність металевої конструкції “Каркас вуличної новорічної ялинки висотою 11 м”,,09.11.2018,4000,12.11.2018,350,отчет,
"ООО ""Люм’єр Україна""",Донецька ,Розрахунок на несучу здатність металевої конструкції “Каркас вуличної новорічної ялинки висотою 10 м”,"м Святогірськ
Донецькій обл
",22.11.2018,4000,22.11.2018,350,отчет,
БУДЗВ’ЯЗОКСЕРВИС,Херсонська,"Херсонська область  м.Херсон, вул. Некрасова, 150",ODE HER NKR,01.06.2020,7500,08.09.2020,350,отчет,
БУДЗВ’ЯЗОКСЕРВИС,Херсонська,"Херсонська область  м.Херсон, пров. Консервний, 15",ODE HER PRO,01.06.2020,7000,01.09.2020,350,отчет,
БУДЗВ’ЯЗОКСЕРВИС,Херсонська,"Херсонська область  м.Херсон, вул Маяковського 16а отмена",ODE HER MAY,01.06.2020,7000,01.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ4818 Запорізька обл., Якимівський р-н, смт. Кирилівка, вул. Коса Пересип, буд. 156",UZ4818 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ4817 Запорізька обл., Якимівський р-н, смт Кирилівка, вул. Федотова коса, готель ""Гранд Вікторія""",UZ4817 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ2978 Запорізька обл., Якимівський р-н, смт. Кирилівка, б/в «Колос»",UZ2978 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ1738 Запорізька обл., Якимівський р-н, смт. Кирилівка, Приморський бульвар, 30",UZ1738 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ2837 Запорізька область, Якимівський район, смт. Кирилівка, коса Пересип, б/в “Чайка”",UZ2837 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ1827 Запорізька область, Якимівський 
район, смт. Кирилівка, вул. Центральна, 1, вежа “Укртелеком”",UZ1827 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ2981 Запорізька обл., смт. Кирилівка, вул. Коса Пересип, 58",UZ2981 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Запорізька ,"Комплекс робіт з розрахунку на несучу здатність антенно-щоглових споруд UZ2980 Запорізька обл., смт. Кирилівка, вул. Коса Пересип, 42",UZ2980 ,26.06.2020,3000,26.06.2020,350,отчет,
"ООО ""АТМАКОМ""",Донецька ,"Про обстеження конструкцій металевої щогли (Н=8,0м) на покрівлі будівлі (Н=71,5м) загальною висотою Н=79,6м за адресою: Донецька обл., м. Мирноград, вул. Артема, 4 
(копер шахти ""Центральна"") з перерахунком несучої здатності, з метою встановлення проектованого антенно-фідерного обладнання",UD0925,04.09.2020,2500,04.09.2020,350,отчет,
